ego_id,n,seed,complete_pivot_best_cost,complete_pivot_average_cost,complete_ilp_cost,complete_lp_cost,p_delete,edge_pivot_best_cost,edge_pivot_average_cost,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,complete_min_max_cc_computed,complete_min_max_cc_cluster_count,complete_min_max_cc_max_disagreement,complete_min_max_cc_d_hat,complete_min_max_cc_lambda,complete_min_max_cc_runtime_seconds,complete_min_max_lp_computed,complete_min_max_lp_cost,complete_min_max_lp_rounding_cost,complete_min_max_lp_max_disagreement_vertex,complete_min_max_lp_cluster_count,complete_min_max_lp_r,complete_min_max_lp_r2,complete_min_max_lp_method,complete_min_max_lp_norm,complete_min_max_lp_runtime_seconds,complete_min_max_lp_rounding_runtime_seconds,complete_min_max_lp_total_runtime_seconds,edge_min_max_cc_computed,edge_min_max_cc_cluster_count,edge_min_max_cc_max_disagreement,edge_min_max_cc_d_hat,edge_min_max_cc_lambda,edge_min_max_cc_runtime_seconds,edge_min_max_lp_computed,edge_min_max_lp_cost,edge_min_max_lp_rounding_cost,edge_min_max_lp_max_disagreement_vertex,edge_min_max_lp_cluster_count,edge_min_max_lp_r,edge_min_max_lp_r2,edge_min_max_lp_method,edge_min_max_lp_norm,edge_min_max_lp_runtime_seconds,edge_min_max_lp_rounding_runtime_seconds,edge_min_max_lp_total_runtime_seconds
0,342,21,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,284,57,8,5,0.024492,,,,,,,,,,,,
0,342,22,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,283,58,8,5,0.024825,,,,,,,,,,,,
0,342,23,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,56,8,5,0.024339,,,,,,,,,,,,
0,342,24,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,58,8,5,0.024332,,,,,,,,,,,,
0,342,25,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,56,8,5,0.023786,,,,,,,,,,,,
0,342,26,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,286,57,8,5,0.024508,,,,,,,,,,,,
0,342,27,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,286,56,8,5,0.023966,,,,,,,,,,,,
0,342,28,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,284,61,8,5,0.023851,,,,,,,,,,,,
0,342,29,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,283,58,8,5,0.024985,,,,,,,,,,,,
0,342,30,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,286,57,8,5,0.024275,,,,,,,,,,,,
0,342,1,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,294,45,8,5,0.024067,,,,,,,,,,,,
0,342,2,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,296,51,8,5,0.023838,,,,,,,,,,,,
0,342,3,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,288,55,8,5,0.023561,,,,,,,,,,,,
0,342,4,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,290,55,8,5,0.024705,,,,,,,,,,,,
0,342,5,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,293,46,8,5,0.024071,,,,,,,,,,,,
0,342,6,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,296,44,8,5,0.024115,,,,,,,,,,,,
0,342,7,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,293,45,8,5,0.02394,,,,,,,,,,,,
0,342,8,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,291,48,8,5,0.023974,,,,,,,,,,,,
0,342,9,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,294,54,8,5,0.023799,,,,,,,,,,,,
0,342,10,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,292,44,8,5,0.024339,,,,,,,,,,,,
0,342,11,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,295,51,8,5,0.023643,,,,,,,,,,,,
0,342,12,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,295,51,8,5,0.023845,,,,,,,,,,,,
0,342,13,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,294,48,8,5,0.024277,,,,,,,,,,,,
0,342,14,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,290,47,8,5,0.024005,,,,,,,,,,,,
