n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
15,0.6,0.40,50,41.38,32.84,9.5,8.9,0.2898560803708353,0.7101439196291647,0.9295864255780646,0.9477980796980797,1.1711397884703518,1.270507881007881,195.36,21.9,0.8884040291595366,8.1,0.42,0.82
15,0.7,0.05,50,4.96,29.52,28.62,28.62,0.9715396865219135,0.028460313478086495,0.995603004838299,0.9936307085150776,1.226408333299137,1.2558044237176933,200.5,174.48,0.12922035346764202,3.58,0.0,0.1
15,0.7,0.15,50,15.12,29.52,26.18,26.18,0.8926635796921834,0.10733642030781664,0.995603004838299,0.9894060551836413,1.226408333299137,1.2744197074833072,200.5,126.12,0.37111520345144566,19.66,0.0,0.26
15,0.7,0.25,50,25.8,29.52,22.66,22.6,0.7764954606530753,0.22350453934692469,0.995603004838299,0.9722149944495213,1.226408333299137,1.2764792354661785,200.5,83.86,0.5819325353092217,31.06,0.06,0.46
15,0.7,0.40,50,41.38,29.52,14.72,14.1,0.5069313003810321,0.4930686996189679,0.995603004838299,0.9691719335599532,1.226408333299137,1.3083203370416994,200.5,37.82,0.8112485328067054,22.32,0.5,0.88
15,0.8,0.05,50,4.96,20.64,20.58,20.58,0.9977411140583554,0.002258885941644562,1.0,1.0,1.289455981901144,1.4412654752556688,173.84,154.84,0.10898907482926255,3.56,0.0,0.0
15,0.8,0.15,50,15.12,20.64,20.36,20.36,0.9896954907161803,0.01030450928381963,1.0,1.0,1.289455981901144,1.5227201534744004,173.84,117.56,0.3244491871569016,21.5,0.0,0.02
15,0.8,0.25,50,25.8,20.64,19.66,19.66,0.9602273375486358,0.03977266245136428,1.0,0.9995833333333334,1.289455981901144,1.5332093630501156,173.84,84.1,0.5169595450465939,36.84,0.0,0.1
15,0.8,0.40,50,41.38,20.64,16.42,16.18,0.8133473152858439,0.18665268471415608,1.0,0.9897373939482685,1.289455981901144,1.4706944014877452,173.84,44.38,0.7444816056799963,34.36,0.2,0.42
20,0.2,0.05,50,9.2,23.54,16.64,16.62,0.7064894902319055,0.2935105097680944,0.7988714987619854,0.8487117365199375,1.2336445184545408,1.1718430292244062,107.42,61.5,0.4249801827756427,0.42,0.02,0.18
20,0.2,0.15,50,27.8,23.54,3.6,3.54,0.15362024415012582,0.8463797558498741,0.7988714987619854,0.9687560738581147,1.2336445184545408,1.0945578231292517,107.42,6.72,0.935502883533504,0.12,0.06,0.12
20,0.2,0.25,50,47.34,23.54,0.0,0.0,0.0,1.0,0.7988714987619854,,1.2336445184545408,,107.42,0.0,1.0,0.0,0.0,0.0
20,0.2,0.40,50,76.34,23.54,0.0,0.0,0.0,1.0,0.7988714987619854,,1.2336445184545408,,107.42,0.0,1.0,0.0,0.0,0.0
20,0.3,0.05,50,9.2,36.48,29.84,29.82,0.818661070468306,0.18133892953169398,0.7822782415753515,0.8023946067472644,1.2681748336488787,1.256730585820585,213.86,149.98,0.29866633426973005,1.34,0.02,0.38
20,0.3,0.15,50,27.8,36.48,16.3,16.2,0.44506652707481165,0.5549334729251884,0.7822782415753515,0.8851574167744581,1.2681748336488787,1.227274955055713,213.86,55.18,0.743668099469907,3.0,0.1,0.66
20,0.3,0.25,50,47.34,36.48,3.26,3.2,0.0880355062383789,0.9119644937616211,0.7822782415753515,0.9696550048590865,1.2681748336488787,1.1267492711370262,213.86,6.26,0.9718132980455129,0.34,0.06,0.14
20,0.3,0.40,50,76.34,36.48,0.0,0.0,0.0,1.0,0.7822782415753515,,1.2681748336488787,,213.86,0.0,1.0,0.0,0.0,0.0
20,0.4,0.05,50,9.2,49.04,42.28,42.28,0.861783743021414,0.138216256978586,0.7785013171419718,0.7946556186937981,1.2521162726392614,1.252418183235005,329.66,254.48,0.22935186454164988,3.58,0.0,0.42
