n,cluster_sizes,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
30,"[15, 10, 5]",0.40,50,174.28,42.0,24.68,24.56,0.5894971906902363,0.4105028093097637,1.0,0.9995652173913043,1.510278224747799,2.292999781718546,588.42,127.54,0.7830750803404848,158.72,0.12,0.08
30,"[15, 15]",0.05,50,21.24,42.18,39.86,39.86,0.9438832855898419,0.05611671441015805,1.0,1.0,1.4214573064076854,1.6001223717375874,713.26,613.88,0.14071396271051195,22.42,0.0,0.0
30,"[15, 15]",0.15,50,64.8,42.18,35.24,35.24,0.8362378742147127,0.16376212578528723,1.0,1.0,1.4214573064076854,2.037260651347303,713.26,436.24,0.38764806185734585,130.06,0.0,0.0
30,"[15, 15]",0.25,50,108.46,42.18,31.38,31.38,0.7446365988049308,0.2553634011950692,1.0,1.0,1.4214573064076854,2.329069265912303,713.26,301.18,0.5773618317777781,218.54,0.0,0.0
30,"[15, 15]",0.40,50,174.28,42.18,25.12,25.12,0.5967294113167039,0.4032705886832962,1.0,1.0,1.4214573064076854,2.7042947892847584,713.26,154.72,0.7826593119921047,231.48,0.0,0.02
30,"[20, 5, 5]",0.05,50,21.24,42.7,40.52,40.52,0.948980377656842,0.05101962234315806,1.0,1.0,1.4822194306054883,1.6337566297795054,681.3,587.24,0.1384362061566798,20.86,0.0,0.0
30,"[20, 5, 5]",0.15,50,64.8,42.7,35.94,35.94,0.842062219724403,0.15793778027559705,1.0,1.0,1.4822194306054883,2.0217283486646376,681.3,419.14,0.38471178431492375,125.66,0.0,0.02
30,"[20, 5, 5]",0.25,50,108.46,42.7,31.5,31.44,0.7373023897144356,0.2626976102855644,1.0,1.0,1.4822194306054883,2.3906596234807926,681.3,287.56,0.578103684684838,211.76,0.06,0.14
30,"[20, 5, 5]",0.40,50,174.28,42.7,24.78,24.68,0.5810679651273397,0.4189320348726603,1.0,0.9992426367461431,1.4822194306054883,2.7517154061750557,681.3,145.14,0.7872036274254888,228.0,0.1,0.18
100,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.05,15,247.66666666666666,497.26666666666665,473.93333333333334,473.93333333333334,0.9531967103545359,0.04680328964546407,0.8645945683885579,0.8638792414501505,1.7083907199680943,1.687812974850935,10216.866666666667,8791.666666666666,0.1389850011322366,400.3333333333333,0.0,0.06666666666666667
